start_code,end_code,start_name,end_name,road_code,direction,distance
1010246,1010251,東郷ＰＡ,日進ＪＣＴ,1010,下り,4.2
1010251,1010256,日進ＪＣＴ,名古屋,1010,下り,3.15
1010256,1010261,名古屋,守山ＰＡ,1010,下り,7.78
1010261,1010266,守山ＰＡ,春日井,1010,下り,3.44
1010266,1010271,春日井,小牧ＪＣＴ,1010,下り,2.3
1010271,1011001,小牧ＪＣＴ,小牧,1010,下り,6.74
1011001,1010271,小牧,小牧ＪＣＴ,1010,上り,6.74
1010271,1010266,小牧ＪＣＴ,春日井,1010,上り,2.3
1010266,1010261,春日井,守山ＰＡ,1010,上り,3.44
1010261,1010256,守山ＰＡ,名古屋,1010,上り,7.78
1010256,1010251,名古屋,日進ＪＣＴ,1010,上り,3.15
1010251,1010246,日進ＪＣＴ,東郷ＰＡ,1010,上り,4.2
1010246,1010241,東郷ＰＡ,東名三好,1010,上り,2.15
1010241,1010236,東名三好,豊田,1010,上り,5.11
1010236,1010231,豊田,豊田上郷ＳＡ,1010,上り,4.63
1010231,1010226,豊田上郷ＳＡ,豊田ＪＣＴ,1010,上り,1.49
1010226,1010221,豊田ＪＣＴ,岡崎,1010,上り,9.8
1010221,1010216,岡崎,美合ＰＡ,1010,上り,3.75
1010216,1010211,美合ＰＡ,音羽蒲郡,1010,上り,8.97
1010211,1010206,音羽蒲郡,赤塚ＰＡ,1010,上り,6.27
1010206,1010201,赤塚ＰＡ,豊川,1010,上り,4.71
1010201,1010196,豊川,新城ＰＡ,1010,上り,7.84
1010196,1010193,新城ＰＡ,三ヶ日ＪＣＴ,1010,上り,4.72
1010193,1010191,三ヶ日ＪＣＴ,三ヶ日,1010,上り,4.62
1010191,1010186,三ヶ日,浜名湖ＳＡ,1010,上り,2.89
1010186,1010183,浜名湖ＳＡ,舘山寺スマート,1010,上り,2.81
1010183,1010181,舘山寺スマート,浜松西,1010,上り,4.12
1010181,1010176,浜松西,三方原ＰＡ,1010,上り,5.2
1010176,1010171,三方原ＰＡ,浜松,1010,上り,4.86
1010171,1010166,浜松,遠州豊田ＰＡ,1010,上り,4.67
1010166,1010161,遠州豊田ＰＡ,磐田,1010,上り,1.82
1010161,1010156,磐田,袋井,1010,上り,4.21
1010156,1010151,袋井,小笠ＰＡ,1010,上り,8.8
1010151,1010146,小笠ＰＡ,掛川,1010,上り,2.25
1010146,1010141,掛川,菊川,1010,上り,6.0
1010141,1010136,菊川,相良牧之原,1010,上り,5.05
1010136,1010131,相良牧之原,牧之原ＳＡ,1010,上り,1.81
1010131,1010126,牧之原ＳＡ,吉田,1010,上り,7.9
1010126,1010123,吉田,大井川焼津藤枝スマート,1010,上り,4.14
1010123,1010121,大井川焼津藤枝スマート,焼津,1010,上り,7.59
1010121,1010116,焼津,日本坂ＰＡ,1010,上り,1.84
1010116,1010111,日本坂ＰＡ,静岡,1010,上り,9.23
1010111,1010108,静岡,日本平久能山スマート,1010,上り,3.22
1010108,1010106,日本平久能山スマート,日本平ＰＡ,1010,上り,2.77
1010106,1010101,日本平ＰＡ,清水,1010,上り,7.24
1010101,1010098,清水,清水ＪＣＴ,1010,上り,1.3
1010098,1010096,清水ＪＣＴ,由比ＰＡ,1010,上り,5.5
1010096,1010091,由比ＰＡ,富士川ＳＡ,1010,上り,11.77
1010091,1010086,富士川ＳＡ,富士,1010,上り,5.62
1010086,1010081,富士,愛鷹ＰＡ,1010,上り,15.1
1010081,1010076,愛鷹ＰＡ,沼津,1010,上り,2.59
1010076,1010071,沼津,裾野,1010,上り,9.2
1010071,1010066,裾野,駒門ＰＡ,1010,上り,2.97
1010066,1010063,駒門ＰＡ,御殿場ＪＣＴ,1010,上り,2.32
1010063,1010061,御殿場ＪＣＴ,御殿場,1010,上り,4.28
1010061,1010056,御殿場,足柄ＳＡ,1010,上り,2.79
1010056,1010051,足柄ＳＡ,鮎沢ＰＡ,1010,上り,6.96
1010051,1010046,鮎沢ＰＡ,大井松田,1010,上り,12.24
1010046,1010041,大井松田,中井ＰＡ,1010,上り,4.48
1010041,1010036,中井ＰＡ,秦野中井,1010,上り,3.36
1010036,1010033,秦野中井,伊勢原ＪＣＴ,1010,上り,9.45
1010033,1010031,伊勢原ＪＣＴ,厚木,1010,上り,4.79
1010031,1014001,厚木,海老名ＪＣＴ,1010,上り,1.13
1014001,1010026,海老名ＪＣＴ,海老名ＳＡ,1010,上り,2.48
1010026,1010023,海老名ＳＡ,綾瀬スマート,1010,上り,2.41
1010023,1010021,綾瀬スマート,横浜町田,1010,上り,8.89
1010021,1010011,横浜町田,港北ＰＡ,1010,上り,5.2
1010011,1010018,港北ＰＡ,横浜青葉ＪＣＴ,1010,上り,1.53
1010018,1010016,横浜青葉ＪＣＴ,横浜青葉,1010,上り,0.0
1010016,1010006,横浜青葉,東名川崎,1010,上り,5.43
1010006,1010004,東名川崎,東京本線,1010,上り,0.83
1010004,1010001,東京本線,東京,1010,上り,5.86
1011001,1011006,小牧,尾張一宮ＰＡ,1011,下り,5.8
1011006,1011011,尾張一宮ＰＡ,一宮,1011,下り,2.03
1011011,1011016,一宮,一宮ＪＣＴ,1011,下り,4.56
1011016,1011019,一宮ＪＣＴ,羽島ＰＡ,1011,下り,6.54
1011019,1011021,羽島ＰＡ,岐阜羽島,1011,下り,1.86
1011021,1011023,岐阜羽島,安八スマート,1011,下り,3.65
1011023,1011026,安八スマート,大垣,1011,下り,3.28
1011026,1011028,大垣,養老ＪＣＴ,1011,下り,4.36
1011028,1011031,養老ＪＣＴ,養老ＳＡ,1011,下り,2.46
1011031,1011036,養老ＳＡ,関ヶ原,1011,下り,7.43
1011036,1011041,関ヶ原,伊吹ＰＡ,1011,下り,7.83
1011041,1011046,伊吹ＰＡ,米原ＪＣＴ,1011,下り,6.55
1011046,1011051,米原ＪＣＴ,彦根,1011,下り,7.7
1011051,1011056,彦根,多賀ＳＡ,1011,下り,4.73
1011056,1011061,多賀ＳＡ,湖東三山ＰＡ,1011,下り,6.17
1011061,1011066,湖東三山ＰＡ,八日市,1011,下り,8.83
1011066,1011071,八日市,黒丸ＰＡ,1011,下り,3.56
1011071,1011073,黒丸ＰＡ,蒲生スマート,1011,下り,3.09
1011073,1011076,蒲生スマート,竜王,1011,下り,5.53
1011076,1011081,竜王,菩提寺ＰＡ,1011,下り,4.27
1011081,1011083,菩提寺ＰＡ,栗東湖南,1011,下り,4.29
1011083,1011086,栗東湖南,栗東,1011,下り,1.47
1011086,1011091,栗東,草津ＪＣＴ,1011,下り,6.05
1011091,1011096,草津ＪＣＴ,草津ＰＡ,1011,下り,1.14
1011096,1011106,草津ＰＡ,瀬田東(名神高速道路),1011,下り,1.68
1011106,1011108,瀬田東(名神高速道路),瀬田東ＪＣＴ,1011,下り,0.0
1011108,1011111,瀬田東ＪＣＴ,瀬田西,1011,下り,1.8
1011111,1011116,瀬田西,大津ＳＡ,1011,下り,4.92
1011116,1011121,大津ＳＡ,大津,1011,下り,0.13
1011121,1011126,大津,京都東,1011,下り,3.32
1011126,1011131,京都東,京都南,1011,下り,8.79
1011131,1011136,京都南,桂川ＰＡ,1011,下り,2.59
1011136,1011141,桂川ＰＡ,大山崎ＪＣＴ,1011,下り,5.15
1011141,1011146,大山崎ＪＣＴ,大山崎,1011,下り,0.24
1011146,1011148,大山崎,高槻ＪＣＴ,1011,下り,7.46
1011148,1011151,高槻ＪＣＴ,茨木,1011,下り,7.31
1011151,1011156,茨木,吹田ＪＣＴ,1011,下り,2.54
1011156,1011161,吹田ＪＣＴ,吹田,1011,下り,0.78
1011161,1011166,吹田,吹田ＳＡ,1011,下り,2.76
1011166,1011171,吹田ＳＡ,豊中,1011,下り,6.59
1011171,1011176,豊中,尼崎,1011,下り,4.65
1011176,1011181,尼崎,西宮(名神高速道路),1011,下り,5.8
1011181,1011176,西宮(名神高速道路),尼崎,1011,上り,5.8
1011176,1011171,尼崎,豊中,1011,上り,4.65
1011171,1011166,豊中,吹田ＳＡ,1011,上り,6.59
1011166,1011161,吹田ＳＡ,吹田,1011,上り,2.76
1011161,1011156,吹田,吹田ＪＣＴ,1011,上り,0.78
1011156,1011151,吹田ＪＣＴ,茨木,1011,上り,2.54
1011151,1011148,茨木,高槻ＪＣＴ,1011,上り,7.31
1011148,1011146,高槻ＪＣＴ,大山崎,1011,上り,7.46
1011146,1011141,大山崎,大山崎ＪＣＴ,1011,上り,0.24
1011141,1011136,大山崎ＪＣＴ,桂川ＰＡ,1011,上り,5.15
1011136,1011131,桂川ＰＡ,京都南,1011,上り,2.59
1011131,1011126,京都南,京都東,1011,上り,8.79
1011126,1011121,京都東,大津,1011,上り,3.32
1011121,1011116,大津,大津ＳＡ,1011,上り,0.13
1011116,1011111,大津ＳＡ,瀬田西,1011,上り,4.92
1011111,1011108,瀬田西,瀬田東ＪＣＴ,1011,上り,1.8
1011108,1011106,瀬田東ＪＣＴ,瀬田東(名神高速道路),1011,上り,0.0
1011106,1011096,瀬田東(名神高速道路),草津ＰＡ,1011,上り,1.68
1011096,1011091,草津ＰＡ,草津ＪＣＴ,1011,上り,1.14
1011091,1011086,草津ＪＣＴ,栗東,1011,上り,6.05
1011086,1011083,栗東,栗東湖南,1011,上り,1.47
1011083,1011081,栗東湖南,菩提寺ＰＡ,1011,上り,4.29
1011081,1011076,菩提寺ＰＡ,竜王,1011,上り,4.27
1011076,1011073,竜王,蒲生スマート,1011,上り,5.53
1011073,1011071,蒲生スマート,黒丸ＰＡ,1011,上り,3.09
1011071,1011066,黒丸ＰＡ,八日市,1011,上り,3.56
1011066,1011061,八日市,湖東三山ＰＡ,1011,上り,8.83
1011061,1011056,湖東三山ＰＡ,多賀ＳＡ,1011,上り,6.17
1011056,1011051,多賀ＳＡ,彦根,1011,上り,4.73
1011051,1011046,彦根,米原ＪＣＴ,1011,上り,7.7
1011046,1011041,米原ＪＣＴ,伊吹ＰＡ,1011,上り,6.55
1011041,1011036,伊吹ＰＡ,関ヶ原,1011,上り,7.83
1011036,1011031,関ヶ原,養老ＳＡ,1011,上り,7.43
1011031,1011028,養老ＳＡ,養老ＪＣＴ,1011,上り,2.46
1011028,1011026,養老ＪＣＴ,大垣,1011,上り,4.36
1011026,1011023,大垣,安八スマート,1011,上り,3.28
1011023,1011021,安八スマート,岐阜羽島,1011,上り,3.65
1011021,1011016,岐阜羽島,一宮ＪＣＴ,1011,上り,8.4
1011016,1011011,一宮ＪＣＴ,一宮,1011,上り,4.56
1011011,1011006,一宮,尾張一宮ＰＡ,1011,上り,2.03
1011006,1011001,尾張一宮ＰＡ,小牧,1011,上り,5.8
1012001,1011141,久御山淀,大山崎ＪＣＴ,1012,下り,2.77
1011141,1012001,大山崎ＪＣＴ,久御山淀,1012,上り,2.77
1201036,1020001,神戸ＪＣＴ,神戸北,1020,下り,2.52
1020001,1020006,神戸北,淡河ＰＡ,1020,下り,4.07
1020006,1023001,淡河ＰＡ,三木ＪＣＴ,1020,下り,7.54
1023001,1020011,三木ＪＣＴ,三木東,1020,下り,2.82
1020011,1020016,三木東,三木ＳＡ,1020,下り,6.75
1020016,1020021,三木ＳＡ,三木小野,1020,下り,2.1
1020021,1020026,三木小野,権現湖ＰＡ,1020,下り,7.98
1020026,1020031,権現湖ＰＡ,加古川北,1020,下り,4.31
1020031,1020036,加古川北,山陽姫路東,1020,下り,8.49
1020036,1020041,山陽姫路東,白鳥ＰＡ,1020,下り,10.7
1020041,1020046,白鳥ＰＡ,山陽姫路西,1020,下り,1.4
1020046,1020051,山陽姫路西,龍野,1020,下り,6.59
1020051,1020056,龍野,龍野西ＳＡ,1020,下り,4.52
1020056,1020061,龍野西ＳＡ,龍野西,1020,下り,0.23
1020061,1211001,龍野西,播磨ＪＣＴ,1020,下り,1.25
1211001,1020066,播磨ＪＣＴ,赤穂,1020,下り,12.58
1020066,1020071,赤穂,福石ＰＡ,1020,下り,6.63
1020071,1020076,福石ＰＡ,備前,1020,下り,3.89
1020076,1020081,備前,和気,1020,下り,8.65
1020081,1020086,和気,瀬戸ＰＡ,1020,下り,8.07
1020086,1020091,瀬戸ＰＡ,山陽,1020,下り,5.53
1020091,1020096,山陽,岡山,1020,下り,13.48
1020096,1020101,岡山,吉備ＳＡ,1020,下り,1.69
1020101,1020106,吉備ＳＡ,岡山ＪＣＴ,1020,下り,5.28
1020106,1022001,岡山ＪＣＴ,倉敷ＪＣＴ,1020,下り,6.0
1022001,1020111,倉敷ＪＣＴ,倉敷,1020,下り,1.87
1020111,1020116,倉敷,玉島,1020,下り,9.4
1020116,1020121,玉島,道口ＰＡ,1020,下り,4.24
1020121,1020126,道口ＰＡ,鴨方,1020,下り,5.31
1020126,1020131,鴨方,笠岡,1020,下り,7.52
1020131,1020133,笠岡,篠坂ＰＡ,1020,下り,4.74
1020133,1020136,篠坂ＰＡ,福山東,1020,下り,6.32
1020136,1020141,福山東,福山ＳＡ,1020,下り,7.73
1020141,1020146,福山ＳＡ,福山西,1020,下り,7.94
1020146,1020149,福山西,尾道ＪＣＴ,1020,下り,4.28
1020149,1020151,尾道ＪＣＴ,尾道,1020,下り,1.18
1020151,1020156,尾道,八幡ＰＡ,1020,下り,7.55
1020156,1020161,八幡ＰＡ,三原久井,1020,下り,3.95
1020161,1020166,三原久井,高坂ＰＡ,1020,下り,4.19
1020166,1020171,高坂ＰＡ,本郷(山陽道),1020,下り,6.86
1020171,1020176,本郷(山陽道),河内,1020,下り,7.3
1020176,1020181,河内,小谷ＳＡ,1020,下り,3.52
1020181,1020183,小谷ＳＡ,高屋,1020,下り,3.02
1020183,1020186,高屋,西条,1020,下り,4.52
1020186,1020191,西条,志和,1020,下り,10.27
1020191,1020196,志和,奥屋ＰＡ,1020,下り,2.31
1020196,1020201,奥屋ＰＡ,広島東,1020,下り,7.41
1020201,1020206,広島東,広島,1020,下り,5.93
1020206,1020211,広島,沼田ＰＡ,1020,下り,5.2
1020211,1020216,沼田ＰＡ,広島ＪＣＴ,1020,下り,1.88
1020216,1020221,広島ＪＣＴ,五日市,1020,下り,2.52
1020221,1020226,五日市,宮島ＳＡ,1020,下り,10.18
1020226,1020231,宮島ＳＡ,廿日市ＪＣＴ,1020,下り,3.91
1020231,1020226,廿日市ＪＣＴ,宮島ＳＡ,1020,上り,3.91
1020226,1020221,宮島ＳＡ,五日市,1020,上り,10.18
1020221,1020216,五日市,広島ＪＣＴ,1020,上り,2.52
1020216,1020211,広島ＪＣＴ,沼田ＰＡ,1020,上り,1.88
1020211,1020206,沼田ＰＡ,広島,1020,上り,5.2
1020206,1020201,広島,広島東,1020,上り,5.93
1020201,1020196,広島東,奥屋ＰＡ,1020,上り,7.41
1020196,1020191,奥屋ＰＡ,志和,1020,上り,2.31
1020191,1020186,志和,西条,1020,上り,10.27
1020186,1020183,西条,高屋,1020,上り,4.52
1020183,1020181,高屋,小谷ＳＡ,1020,上り,3.02
1020181,1020176,小谷ＳＡ,河内,1020,上り,3.52
1020176,1020171,河内,本郷(山陽道),1020,上り,7.3
1020171,1020166,本郷(山陽道),高坂ＰＡ,1020,上り,6.86
1020166,1020161,高坂ＰＡ,三原久井,1020,上り,4.19
1020161,1020156,三原久井,八幡ＰＡ,1020,上り,3.95
1020156,1020151,八幡ＰＡ,尾道,1020,上り,7.55
1020151,1020149,尾道,尾道ＪＣＴ,1020,上り,1.18
1020149,1020146,尾道ＪＣＴ,福山西,1020,上り,4.28
1020146,1020141,福山西,福山ＳＡ,1020,上り,7.94
1020141,1020136,福山ＳＡ,福山東,1020,上り,7.73
1020136,1020133,福山東,篠坂ＰＡ,1020,上り,6.32
1020133,1020131,篠坂ＰＡ,笠岡,1020,上り,4.74
1020131,1020126,笠岡,鴨方,1020,上り,7.52
1020126,1020121,鴨方,道口ＰＡ,1020,上り,5.31
1020121,1020116,道口ＰＡ,玉島,1020,上り,4.24
1020116,1020111,玉島,倉敷,1020,上り,9.4
1020111,1022001,倉敷,倉敷ＪＣＴ,1020,上り,1.87
1022001,1020106,倉敷ＪＣＴ,岡山ＪＣＴ,1020,上り,6.0
1020106,1020101,岡山ＪＣＴ,吉備ＳＡ,1020,上り,5.28
1020101,1020096,吉備ＳＡ,岡山,1020,上り,1.69
1020096,1020091,岡山,山陽,1020,上り,13.48
1020091,1020086,山陽,瀬戸ＰＡ,1020,上り,5.53
1020086,1020081,瀬戸ＰＡ,和気,1020,上り,8.07
1020081,1020076,和気,備前,1020,上り,8.65
1020076,1020071,備前,福石ＰＡ,1020,上り,3.89
1020071,1020066,福石ＰＡ,赤穂,1020,上り,6.63
1020066,1211001,赤穂,播磨ＪＣＴ,1020,上り,12.58
1211001,1020061,播磨ＪＣＴ,龍野西,1020,上り,1.25
1020061,1020056,龍野西,龍野西ＳＡ,1020,上り,0.23
1020056,1020051,龍野西ＳＡ,龍野,1020,上り,4.52
1020051,1020046,龍野,山陽姫路西,1020,上り,6.59
1020046,1020041,山陽姫路西,白鳥ＰＡ,1020,上り,1.4
1020041,1020036,白鳥ＰＡ,山陽姫路東,1020,上り,10.7
1020036,1020031,山陽姫路東,加古川北,1020,上り,8.49
1020031,1020026,加古川北,権現湖ＰＡ,1020,上り,4.31
1020026,1020021,権現湖ＰＡ,三木小野,1020,上り,7.98
1020021,1020016,三木小野,三木ＳＡ,1020,上り,2.1
1020016,1020011,三木ＳＡ,三木東,1020,上り,6.75
1020011,1023001,三木東,三木ＪＣＴ,1020,上り,2.82
1023001,1020006,三木ＪＣＴ,淡河ＰＡ,1020,上り,7.54
1020006,1020001,淡河ＰＡ,神戸北,1020,上り,4.07
1020001,1201036,神戸北,神戸ＪＣＴ,1020,上り,2.52
1020236,1020241,大竹ＪＣＴ,岩国,1020,下り,8.24
1020241,1020246,岩国,玖珂ＰＡ,1020,下り,10.19
1020246,1020251,玖珂ＰＡ,玖珂,1020,下り,2.56
1020251,1020256,玖珂,熊毛,1020,下り,11.07
1020256,1020261,熊毛,下松ＳＡ,1020,下り,5.41
1020261,1020266,下松ＳＡ,徳山東,1020,下り,6.33
1020266,1020271,徳山東,徳山西,1020,下り,14.94
1020271,1020276,徳山西,富海ＰＡ,1020,下り,3.29
1020276,1020281,富海ＰＡ,防府東,1020,下り,8.44
1020281,1020286,防府東,防府西,1020,下り,2.69
1020286,1020291,防府西,佐波川ＳＡ,1020,下り,2.9
1020291,1020296,佐波川ＳＡ,山口南,1020,下り,5.62
1020296,1201266,山口南,山口ＪＣＴ,1020,下り,5.17
1201266,1020296,山口ＪＣＴ,山口南,1020,上り,5.17
1020296,1020291,山口南,佐波川ＳＡ,1020,上り,5.62
1020291,1020286,佐波川ＳＡ,防府西,1020,上り,2.9
1020286,1020281,防府西,防府東,1020,上り,2.69
1020281,1020276,防府東,富海ＰＡ,1020,上り,8.44
1020276,1020271,富海ＰＡ,徳山西,1020,上り,3.29
1020271,1020266,徳山西,徳山東,1020,上り,14.94
1020266,1020261,徳山東,下松ＳＡ,1020,上り,6.33
1020261,1020256,下松ＳＡ,熊毛,1020,上り,5.41
1020256,1020251,熊毛,玖珂,1020,上り,11.07
1020251,1020246,玖珂,玖珂ＰＡ,1020,上り,2.56
1020246,1020241,玖珂ＰＡ,岩国,1020,上り,10.19
1020241,1020236,岩国,大竹ＪＣＴ,1020,上り,8.24
1020301,1020304,宇部ＪＣＴ,宇部本線,1020,下り,2.84
1020304,1020306,宇部本線,宇部,1020,下り,0.5
1020306,1020311,宇部,小野田,1020,下り,9.51
1020311,1020313,小野田,周防灘ＰＡ,1020,下り,7.0
1020313,1020316,周防灘ＰＡ,埴生,1020,下り,1.68
1020316,1020321,埴生,下関ＪＣＴ,1020,下り,5.67
1020321,1020316,下関ＪＣＴ,埴生,1020,上り,5.67
1020316,1020313,埴生,周防灘ＰＡ,1020,上り,1.68
1020313,1020311,周防灘ＰＡ,小野田,1020,上り,7.0
1020311,1020306,小野田,宇部,1020,上り,9.51
1020306,1020304,宇部,宇部本線,1020,上り,0.5
1020304,1020301,宇部本線,宇部ＪＣＴ,1020,上り,2.84
1022001,1022006,倉敷ＪＣＴ,早島,1022,下り,3.27
1022006,1022001,早島,倉敷ＪＣＴ,1022,上り,3.27
1023001,1023006,三木ＪＣＴ,神戸西,1023,下り,9.26
1023006,1023001,神戸西,三木ＪＣＴ,1023,上り,9.26
1030001,1030006,門司,新門司,1030,下り,4.48
1030006,1030011,新門司,吉志ＰＡ,1030,下り,1.55
1030011,1030016,吉志ＰＡ,小倉東,1030,下り,6.42
1030016,1030021,小倉東,北九州ＪＣＴ,1030,下り,3.25
1030021,1030026,北九州ＪＣＴ,小倉南,1030,下り,3.06
1030026,1030031,小倉南,八幡,1030,下り,10.55
1030031,1030038,八幡,鞍手,1030,下り,5.05
1030038,1030041,鞍手,鞍手ＰＡ,1030,下り,0.0
1030041,1030043,鞍手ＰＡ,宮田スマート,1030,下り,5.28
1030043,1030046,宮田スマート,若宮(九州道),1030,下り,2.97
1030046,1030051,若宮(九州道),古賀ＳＡ,1030,下り,8.47
1030051,1030056,古賀ＳＡ,古賀,1030,下り,3.33
1030056,1030061,古賀,福岡(九州道),1030,下り,10.03
1030061,1030066,福岡(九州道),須恵ＰＡ,1030,下り,4.89
1030066,1030071,須恵ＰＡ,太宰府,1030,下り,6.27
1030071,1030076,太宰府,筑紫野,1030,下り,6.59
1030076,1030081,筑紫野,基山ＰＡ,1030,下り,4.05
1030081,1030086,基山ＰＡ,鳥栖ＪＣＴ,1030,下り,4.97
1030086,1030091,鳥栖ＪＣＴ,久留米,1030,下り,8.93
1030091,1030096,久留米,広川(九州道),1030,下り,7.4
1030096,1030101,広川(九州道),広川ＳＡ,1030,下り,0.24
1030101,1030106,広川ＳＡ,八女,1030,下り,4.99
1030106,1030108,八女,みやま柳川,1030,下り,7.06
1030108,1030111,みやま柳川,山川ＰＡ,1030,下り,2.34
1030111,1030116,山川ＰＡ,南関,1030,下り,6.9
1030116,1030121,南関,玉名ＰＡ,1030,下り,7.35
1030121,1030126,玉名ＰＡ,菊水,1030,下り,3.54
1030126,1030131,菊水,植木,1030,下り,10.55
1030131,1030134,植木,北熊本スマート,1030,下り,4.22
1030134,1030136,北熊本スマート,北熊本ＳＡ,1030,下り,0.28
1030136,1030141,北熊本ＳＡ,熊本,1030,下り,8.77
1030141,1030143,熊本,託麻ＰＡ,1030,下り,3.08
1030143,1030146,託麻ＰＡ,益城熊本空港,1030,下り,2.05
1030146,1030148,益城熊本空港,嘉島ＪＣＴ,1030,下り,4.17
1030148,1030151,嘉島ＪＣＴ,御船,1030,下り,2.72
1030151,1030156,御船,緑川ＰＡ,1030,下り,3.2
1030156,1030158,緑川ＰＡ,城南スマート,1030,下り,2.26
1030158,1030161,城南スマート,松橋,1030,下り,5.68
1030161,1030163,松橋,宇城氷川スマート,1030,下り,8.04
1030163,1030166,宇城氷川スマート,宮原ＳＡ,1030,下り,4.63
1030166,1030171,宮原ＳＡ,八代,1030,下り,4.6
1030171,1030176,八代,八代ＪＣＴ,1030,下り,0.89
1030176,1030181,八代ＪＣＴ,坂本ＰＡ,1030,下り,7.13
1030181,1030186,坂本ＰＡ,山江ＳＡ,1030,下り,22.24
1030186,1030191,山江ＳＡ,人吉,1030,下り,3.49
1030191,1030193,人吉,人吉球磨スマート,1030,下り,3.01
1030193,1030196,人吉球磨スマート,えびのＰＡ,1030,下り,15.05
1030196,1030201,えびのＰＡ,えびの,1030,下り,2.14
1030201,1030206,えびの,えびのＪＣＴ,1030,下り,2.16
1030206,1030209,えびのＪＣＴ,吉松ＰＡ,1030,下り,5.2
1030209,1030211,吉松ＰＡ,栗野,1030,下り,7.47
